filename,width,height,class,xmin,ymin,xmax,ymax
HS_H08_20180113_0930_30.76_95.67.npy,840,840,severe turbulence,298,315,833,443
HS_H08_20180113_0930_30.76_95.67.npy,840,840,severe turbulence,83,379,315,463
HS_H08_20180113_0930_30.76_95.67.npy,840,840,turbulence,59,546,267,638
HS_H08_20180113_0930_30.76_95.67.npy,840,840,turbulence,519,148,682,210
HS_H08_20180113_0930_30.76_95.67.npy,840,840,turbulence,392,134,616,199
HS_H08_20180113_0930_30.76_95.67.npy,840,840,severe turbulence,54,382,346,545
HS_H08_20180113_0930_30.76_95.67.npy,840,840,turbulence,24,239,130,295
HS_H08_20180113_0930_30.76_95.67.npy,840,840,turbulence,475,515,585,591
HS_H08_20180113_0950_30.76_95.67.npy,840,840,severe turbulence,341,311,820,433
HS_H08_20180113_0950_30.76_95.67.npy,840,840,severe turbulence,84,375,338,450
HS_H08_20180113_0950_30.76_95.67.npy,840,840,turbulence,371,147,635,199
HS_H08_20180113_0950_30.76_95.67.npy,840,840,turbulence,616,217,784,273
HS_H08_20180124_1900_33.24_114.62.npy,840,840,turbulence,419,439,539,496
HS_H08_20180124_1900_33.24_114.62.npy,840,840,turbulence,34,286,236,348
HS_H08_20180124_1900_33.24_114.62.npy,840,840,turbulence,103,472,173,540
HS_H08_20180124_1900_33.24_114.62.npy,840,840,turbulence,172,442,300,481
HS_H08_20180124_1910_33.24_114.62.npy,840,840,turbulence,444,433,607,496
HS_H08_20180124_1910_33.24_114.62.npy,840,840,turbulence,257,432,337,470
HS_H08_20180124_1910_33.24_114.62.npy,840,840,turbulence,110,456,236,529
HS_H08_20180124_1910_33.24_114.62.npy,840,840,severe turbulence,16,285,234,340
HS_H08_20180124_1910_33.24_114.62.npy,840,840,turbulence,146,278,269,335
HS_H08_20180124_1920_33.24_114.62.npy,840,840,severe turbulence,25,277,185,341
HS_H08_20180124_1920_33.24_114.62.npy,840,840,turbulence,436,424,634,493
HS_H08_20180124_1920_33.24_114.62.npy,840,840,turbulence,134,463,220,526
HS_H08_20180124_1920_33.24_114.62.npy,840,840,turbulence,190,273,287,324
HS_H08_20180124_1920_33.24_114.62.npy,840,840,turbulence,295,418,379,464
HS_H08_20180124_1930_33.24_114.62.npy,840,840,severe turbulence,28,273,186,354
HS_H08_20180124_1930_33.24_114.62.npy,840,840,turbulence,461,425,671,484
HS_H08_20180124_1930_33.24_114.62.npy,840,840,turbulence,155,453,251,525
HS_H08_20180124_1930_33.24_114.62.npy,840,840,turbulence,189,265,313,310
HS_H08_20180124_1950_33.24_114.62.npy,840,840,turbulence,183,445,317,518
HS_H08_20180124_1950_33.24_114.62.npy,840,840,turbulence,531,420,722,479
HS_H08_20180124_1950_33.24_114.62.npy,840,840,severe turbulence,8,285,178,359
HS_H08_20180124_2000_33.24_114.62.npy,840,840,turbulence,200,441,367,509
HS_H08_20180124_2000_33.24_114.62.npy,840,840,severe turbulence,25,288,218,350
HS_H08_20180124_2000_33.24_114.62.npy,840,840,turbulence,587,421,725,473
HS_H08_20180206_1500_28.78_106.67.npy,840,840,severe turbulence,102,272,288,352
HS_H08_20180206_1500_28.78_106.67.npy,840,840,severe turbulence,303,419,499,534
HS_H08_20180206_1500_28.78_106.67.npy,840,840,turbulence,565,468,661,557
HS_H08_20180206_1500_28.78_106.67.npy,840,840,severe turbulence,331,302,506,394
HS_H08_20180206_1500_28.78_106.67.npy,840,840,turbulence,9,218,154,302
HS_H08_20180206_1500_28.78_106.67.npy,840,840,severe turbulence,451,435,543,527
HS_H08_20180206_1510_28.78_106.67.npy,840,840,severe turbulence,316,418,472,523
HS_H08_20180206_1510_28.78_106.67.npy,840,840,severe turbulence,138,279,289,359
HS_H08_20180206_1510_28.78_106.67.npy,840,840,severe turbulence,455,440,581,528
HS_H08_20180206_1510_28.78_106.67.npy,840,840,severe turbulence,334,297,510,390
HS_H08_20180206_1510_28.78_106.67.npy,840,840,turbulence,165,384,269,478
HS_H08_20180206_1510_28.78_106.67.npy,840,840,severe turbulence,570,461,688,545
HS_H08_20180206_1510_28.78_106.67.npy,840,840,turbulence,503,55,623,125
HS_H08_20180206_1520_28.16_106.7.npy,840,840,severe turbulence,355,363,480,457
HS_H08_20180206_1520_28.16_106.7.npy,840,840,severe turbulence,61,189,186,282
HS_H08_20180206_1520_28.16_106.7.npy,840,840,severe turbulence,166,233,307,312
HS_H08_20180206_1520_28.16_106.7.npy,840,840,severe turbulence,524,405,699,481
HS_H08_20180206_1520_28.16_106.7.npy,840,840,turbulence,522,12,671,77
HS_H08_20180206_1520_28.16_106.7.npy,840,840,severe turbulence,162,346,281,428
HS_H08_20180206_1520_28.16_106.7.npy,840,840,turbulence,343,253,550,345
HS_H08_20180206_1540_28.16_106.7.npy,840,840,severe turbulence,115,216,337,323
HS_H08_20180206_1540_28.16_106.7.npy,840,840,severe turbulence,550,366,693,480
HS_H08_20180206_1540_28.16_106.7.npy,840,840,turbulence,704,449,788,521
HS_H08_20180206_1540_28.16_106.7.npy,840,840,turbulence,190,362,332,431
HS_H08_20180206_1540_28.16_106.7.npy,840,840,turbulence,0,168,120,252
HS_H08_20180206_1540_28.16_106.7.npy,840,840,turbulence,573,772,836,837
HS_H08_20180206_1540_28.16_106.7.npy,840,840,turbulence,384,347,520,449
HS_H08_20180206_1550_28.16_106.7.npy,840,840,severe turbulence,559,350,728,490
HS_H08_20180206_1550_28.16_106.7.npy,840,840,severe turbulence,132,228,405,335
HS_H08_20180206_1550_28.16_106.7.npy,840,840,turbulence,400,355,534,434
HS_H08_20180206_1550_28.16_106.7.npy,840,840,severe turbulence,193,359,352,437
HS_H08_20180206_1550_28.16_106.7.npy,840,840,turbulence,741,467,825,536
HS_H08_20180206_1600_29.09_110.41.npy,840,840,severe turbulence,250,429,444,569
HS_H08_20180206_1600_29.09_110.41.npy,840,840,turbulence,462,563,532,628
HS_H08_20180206_1600_29.09_110.41.npy,840,840,severe turbulence,5,344,114,422
HS_H08_20180206_1600_29.09_110.41.npy,840,840,severe turbulence,84,425,189,504
HS_H08_20180206_1600_29.09_110.41.npy,840,840,turbulence,41,584,186,649
HS_H08_20180206_1600_29.09_110.41.npy,840,840,turbulence,4,450,68,513
HS_H08_20180206_1600_29.09_110.41.npy,840,840,turbulence,736,491,840,637
HS_H08_20180206_1610_29.09_110.41.npy,840,840,severe turbulence,268,417,472,581
HS_H08_20180206_1610_29.09_110.41.npy,840,840,severe turbulence,117,327,267,444
HS_H08_20180206_1610_29.09_110.41.npy,840,840,severe turbulence,7,343,131,427
HS_H08_20180206_1610_29.09_110.41.npy,840,840,turbulence,776,517,840,652
HS_H08_20180206_1610_29.09_110.41.npy,840,840,turbulence,494,418,561,510
HS_H08_20180206_1610_29.09_110.41.npy,840,840,turbulence,106,426,212,500
HS_H08_20180206_1610_29.09_110.41.npy,840,840,turbulence,128,609,241,667
HS_H08_20180206_1630_29.09_110.41.npy,840,840,severe turbulence,6,329,163,436
HS_H08_20180206_1630_29.09_110.41.npy,840,840,severe turbulence,402,496,529,610
HS_H08_20180206_1630_29.09_110.41.npy,840,840,severe turbulence,119,424,250,510
HS_H08_20180206_1630_29.09_110.41.npy,840,840,turbulence,563,430,638,549
HS_H08_20180206_1630_29.09_110.41.npy,840,840,turbulence,4,548,106,617
HS_H08_20180206_1640_29.09_110.41.npy,840,840,severe turbulence,3,331,189,437
HS_H08_20180206_1640_29.09_110.41.npy,840,840,turbulence,11,557,141,622
HS_H08_20180206_1640_29.09_110.41.npy,840,840,turbulence,112,483,243,558
HS_H08_20180207_1210_30.29_109.6.npy,840,840,turbulence,303,310,462,381
HS_H08_20180207_1210_30.29_109.6.npy,840,840,turbulence,529,346,673,408
HS_H08_20180207_1250_30.29_109.6.npy,840,840,turbulence,357,334,477,390
HS_H08_20180207_1250_30.29_109.6.npy,840,840,turbulence,375,478,488,575
HS_H08_20180207_1250_30.29_109.6.npy,840,840,turbulence,572,351,778,419
HS_H08_20180207_1300_30.29_109.6.npy,840,840,turbulence,368,341,496,405
HS_H08_20180207_1300_30.29_109.6.npy,840,840,turbulence,389,485,517,581
HS_H08_20180207_1300_30.29_109.6.npy,840,840,turbulence,668,571,796,689
HS_H08_20180207_1300_30.29_109.6.npy,840,840,turbulence,579,346,779,423
HS_H08_20180207_1310_30.29_109.6.npy,840,840,turbulence,160,452,369,542
HS_H08_20180207_1310_30.29_109.6.npy,840,840,turbulence,690,564,800,641
HS_H08_20180207_1310_30.29_109.6.npy,840,840,turbulence,361,344,513,414
HS_H08_20180207_1310_30.29_109.6.npy,840,840,turbulence,427,494,547,586
HS_H08_20180207_1850_30.41_114.21.npy,840,840,turbulence,202,351,374,418
HS_H08_20180207_1850_30.41_114.21.npy,840,840,turbulence,163,530,293,590
HS_H08_20180207_1900_30.41_114.21.npy,840,840,turbulence,195,534,325,596
HS_H08_20180207_1900_30.41_114.21.npy,840,840,turbulence,298,377,459,445
HS_H08_20180207_1900_30.41_114.21.npy,840,840,turbulence,127,488,244,570
HS_H08_20180207_1900_30.41_114.21.npy,840,840,turbulence,170,348,311,408
HS_H08_20180207_1900_30.41_114.21.npy,840,840,turbulence,97,601,250,664
HS_H08_20180207_1910_30.41_114.21.npy,840,840,turbulence,0,474,130,552
HS_H08_20180207_1910_30.41_114.21.npy,840,840,turbulence,218,358,420,424
HS_H08_20180207_1910_30.41_114.21.npy,840,840,turbulence,120,606,298,677
HS_H08_20180207_1910_30.41_114.21.npy,840,840,turbulence,80,252,221,337
HS_H08_20180207_1910_30.41_114.21.npy,840,840,turbulence,134,506,266,573
HS_H08_20180207_1920_30.41_114.21.npy,840,840,turbulence,214,354,425,432
HS_H08_20180207_1920_30.41_114.21.npy,840,840,turbulence,0,469,145,545
HS_H08_20180207_1920_30.72_104.44.npy,840,840,severe turbulence,357,366,553,482
HS_H08_20180207_1920_30.72_104.44.npy,840,840,turbulence,760,485,839,563
HS_H08_20180207_1930_30.72_104.44.npy,840,840,severe turbulence,284,349,569,491
HS_H08_20180207_1930_30.72_104.44.npy,840,840,turbulence,627,389,781,479
HS_H08_20180207_1930_30.72_104.44.npy,840,840,turbulence,751,489,839,557
HS_H08_20180207_1940_30.72_104.44.npy,840,840,severe turbulence,353,380,616,494
HS_H08_20180207_1940_30.72_104.44.npy,840,840,severe turbulence,118,339,268,411
HS_H08_20180207_1940_30.72_104.44.npy,840,840,turbulence,630,393,794,470
HS_H08_20180207_1940_30.72_104.44.npy,840,840,turbulence,758,468,838,530
HS_H08_20180209_0600_30.56_111.48.npy,840,840,turbulence,100,255,459,346
HS_H08_20180209_0600_30.56_111.48.npy,840,840,turbulence,591,310,822,381
HS_H08_20180209_0600_30.56_111.48.npy,840,840,turbulence,220,457,403,581
HS_H08_20180209_0600_30.56_111.48.npy,840,840,turbulence,392,375,520,450
HS_H08_20180209_0600_30.56_111.48.npy,840,840,severe turbulence,680,408,839,471
HS_H08_20180209_0620_30.56_111.48.npy,840,840,severe turbulence,445,362,535,426
HS_H08_20180209_0620_30.56_111.48.npy,840,840,severe turbulence,295,425,444,516
HS_H08_20180209_0620_30.56_111.48.npy,840,840,turbulence,574,307,840,395
HS_H08_20180209_0620_30.56_111.48.npy,840,840,turbulence,720,398,838,458
HS_H08_20180209_0620_30.56_111.48.npy,840,840,turbulence,247,515,379,576
HS_H08_20180209_0620_30.56_111.48.npy,840,840,turbulence,782,163,840,241
HS_H08_20180209_0620_30.56_111.48.npy,840,840,severe turbulence,80,49,251,105
HS_H08_20180209_0630_30.56_111.48.npy,840,840,turbulence,239,499,364,577
HS_H08_20180209_0630_30.56_111.48.npy,840,840,turbulence,439,354,547,420
HS_H08_20180209_0630_30.56_111.48.npy,840,840,severe turbulence,594,313,828,395
HS_H08_20180209_0630_30.56_111.48.npy,840,840,severe turbulence,676,407,837,482
HS_H08_20180209_0630_30.56_111.48.npy,840,840,severe turbulence,128,40,281,98
HS_H08_20180209_0630_30.56_111.48.npy,840,840,turbulence,326,451,463,507
HS_H08_20180209_0700_30.56_111.48.npy,840,840,severe turbulence,632,307,825,386
HS_H08_20180209_0700_30.56_111.48.npy,840,840,turbulence,726,425,837,475
HS_H08_20180209_0700_30.56_111.48.npy,840,840,severe turbulence,270,500,418,574
HS_H08_20180209_0700_30.56_111.48.npy,840,840,turbulence,355,421,542,497
HS_H08_20180209_0710_30.56_111.48.npy,840,840,severe turbulence,624,311,837,391
HS_H08_20180209_0710_30.56_111.48.npy,840,840,turbulence,727,421,838,476
HS_H08_20180209_0710_30.56_111.48.npy,840,840,severe turbulence,296,488,443,572
HS_H08_20180209_0720_30.56_111.48.npy,840,840,turbulence,642,306,840,385
HS_H08_20180209_0720_30.56_111.48.npy,840,840,severe turbulence,305,457,474,534
HS_H08_20180209_0720_30.56_111.48.npy,840,840,turbulence,292,516,464,576
HS_H08_20180209_0720_30.56_111.48.npy,840,840,turbulence,730,414,837,473
HS_H08_20180209_0720_30.56_111.48.npy,840,840,turbulence,460,402,611,469
HS_H08_20180209_0740_30.56_111.48.npy,840,840,turbulence,546,378,664,438
HS_H08_20180209_0740_30.56_111.48.npy,840,840,severe turbulence,322,450,503,553
HS_H08_20180209_0820_30.79_114.21.npy,840,840,turbulence,79,502,202,573
HS_H08_20180209_0820_30.79_114.21.npy,840,840,turbulence,284,425,444,492
HS_H08_20180209_0820_30.79_114.21.npy,840,840,severe turbulence,494,333,642,390
HS_H08_20180209_0820_30.79_114.21.npy,840,840,severe turbulence,513,316,724,382
HS_H08_20180209_0850_30.79_114.21.npy,840,840,severe turbulence,262,442,410,524
HS_H08_20180209_0850_30.79_114.21.npy,840,840,turbulence,540,305,768,372
HS_H08_20180209_0850_30.79_114.21.npy,840,840,turbulence,68,770,142,839
HS_H08_20180209_0850_30.79_114.21.npy,840,840,turbulence,71,504,189,578
HS_H08_20180209_0850_30.79_114.21.npy,840,840,turbulence,744,279,838,358
HS_H08_20180209_0900_30.79_114.21.npy,840,840,severe turbulence,271,441,437,544
HS_H08_20180209_0940_30.78_114.22.npy,840,840,turbulence,310,427,469,505
HS_H08_20180209_0940_30.78_114.22.npy,840,840,turbulence,235,498,395,558
HS_H08_20180209_0940_31.13_117.77.npy,840,840,turbulence,19,448,177,547
HS_H08_20180209_0940_31.13_117.77.npy,840,840,turbulence,6,203,109,268
HS_H08_20180209_1000_30.78_114.22.npy,840,840,turbulence,333,389,568,484
HS_H08_20180209_1000_30.78_114.22.npy,840,840,turbulence,242,493,363,545
HS_H08_20180209_1000_30.78_114.22.npy,840,840,turbulence,104,413,216,471
HS_H08_20180209_1000_31.13_117.77.npy,840,840,turbulence,24,420,266,517
HS_H08_20180209_1000_31.13_117.77.npy,840,840,turbulence,1,527,62,587
